name,sf,N,num_trials,gamma_0,gamma_0_new,gamma_1,d,fpt,k,alive
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,140,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,164,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,184,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,189,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,155,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,175,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,177,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,203,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,165,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,187,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,183,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,172,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,165,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,178,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,177,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,166,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,201,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,191,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,162,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,200,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,182,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,229,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,134,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,178,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,167,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,166,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,185,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,188,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,220,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,190,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,189,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,179,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,190,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,179,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,193,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,180,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,159,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,198,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,188,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,185,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,173,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,173,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,170,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,186,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,202,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,190,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,184,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,163,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,208,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,225,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,196,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,160,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,156,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,191,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,219,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,183,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,180,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,160,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,178,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,159,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,195,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,137,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,189,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,184,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,207,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,184,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,174,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,190,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,213,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,176,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,209,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,160,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,232,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,197,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,184,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,211,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,156,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,194,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,195,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,173,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,174,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,188,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,160,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,209,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,174,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,217,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,207,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,188,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,189,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,181,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,173,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,178,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,180,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,182,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,197,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,176,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,145,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,155,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,179,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,172,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,193,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,153,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,144,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,177,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,161,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,174,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,180,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,220,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,199,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,196,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,141,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,195,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,194,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,197,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,179,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,199,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,200,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,192,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,229,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,168,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,198,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,171,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,172,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,186,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,149,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,207,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,183,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,169,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,170,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,184,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,205,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,157,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,205,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,150,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,144,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,170,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,173,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,194,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,225,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,168,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,198,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,204,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,149,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,181,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,158,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,180,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,226,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,214,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,149,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,206,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,191,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,204,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,201,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,153,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,181,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,178,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,174,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,202,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,166,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,231,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,201,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,166,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,191,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,198,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,170,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,196,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,163,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,198,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,184,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,207,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,155,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,185,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,177,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,208,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,205,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,205,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,151,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,188,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,180,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,153,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,163,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,170,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,178,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,185,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,160,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,192,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,188,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,181,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,195,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,191,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,203,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,192,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,176,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,135,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,213,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,207,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,192,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,152,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,230,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,183,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,174,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,156,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,145,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,179,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,210,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,221,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,211,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,202,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,180,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,206,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,235,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,183,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,159,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,193,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,186,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,165,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,186,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,169,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,146,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,207,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,185,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,183,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,179,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,189,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,222,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,191,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,184,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,177,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,177,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,195,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,175,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,220,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,185,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,186,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,198,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,187,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,187,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,193,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,213,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,210,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,147,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,229,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,213,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,215,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,200,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,206,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,249,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,143,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,163,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,131,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,190,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,167,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,201,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,217,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,176,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,183,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,155,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,160,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,183,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,177,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,182,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,231,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,152,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,172,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,183,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,185,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,186,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,197,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,134,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,196,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,191,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,178,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,136,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,195,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,186,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,137,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,158,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,144,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,206,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,188,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,208,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,207,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,174,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,200,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,182,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,181,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,144,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,219,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,203,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,173,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,206,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,178,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,198,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,214,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,178,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,163,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,193,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,224,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,166,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,203,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,156,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,192,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,181,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,192,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,182,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,177,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,151,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,183,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,200,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,191,0,0
